,Better Diets and Nutrition.pdf,Breeding For Tomorrow.pdf,Capacity Sharing.pdf,Climate Action.pdf,Digital Transformation.pdf,Food Frontiers and Security.pdf,Gender Equality and Inclusion.pdf,Genebanks.pdf,Multifunctional Landscapes.pdf,Policy Innovations.pdf,Scaling for Impact.pdf,Sustainable Animal and Aquatic Foods.pdf,Sustainable Farming.pdf
M-V0192-Propuesta Colab de Certif. Técnicos en Agric.Sustent,0.17201225,0.29360324,0.26315773,0.1781473,0.1449989,0.21941173,0.10694407,0.22864744,0.2539666,0.18260491,0.13781698,0.22356449,0.2645726
M-W0509-PARTNERSHIP Bread for Health: Dev.Arabinoxylan-Enric,0.3459438,0.29004213,0.17881636,0.1471249,0.062861316,0.28203285,0.11655434,0.22945225,0.23132089,0.1696544,0.15609078,0.31237,0.21767579
M-V0082-Responsible Sourcing in Mexico (Maize),0.24916111,0.3171405,0.27489448,0.22000387,0.14544575,0.3079565,0.15384215,0.33520216,0.28650334,0.21352583,0.22334754,0.2827446,0.325955
M-W0473-New Sources of Genetic Disease Resistance through Ho,0.062354352,0.16761392,0.024282977,0.073933415,0.08310223,0.11144031,0.052466605,0.32628602,0.13218379,0.033734635,0.0311214,0.12810732,0.14819212
M-M0371-Climate-Adaptative Maize seed for,0.21005152,0.45132205,0.1602003,0.21626371,0.024510404,0.23605208,0.11673709,0.3383063,0.3048041,0.17093235,0.08886668,0.16764472,0.34716
M-V0201-Pilot project: Smallholder farmers capturing carbon,0.29113194,0.32456928,0.35828462,0.40764308,0.21721646,0.34795448,0.24319223,0.30431685,0.42610642,0.30813083,0.3615011,0.35640317,0.44810912
M-W0479-SPECIFITE DES RESISTANCES DU BLE DUR AUX MALADIES FO,-0.03289745,-0.056540795,0.008571042,0.004854241,-0.029087584,0.05064644,-0.042953286,0.013086296,0.061754514,-0.0336785,-0.015914498,0.021405187,0.013706114
M-R0233-Engineering of low germination stimulant production,0.06845304,0.24795134,0.031537175,-0.0063097263,-0.07618546,0.0749415,0.008642484,0.23745476,0.12498598,-0.017619144,0.013061082,0.06845672,0.18649872
M-V0153-Bioavailability of provitamin A carotenoids and zinc,0.25920588,0.21297587,0.12306643,0.08158656,0.074365504,0.17448416,0.063314974,0.17725785,0.19199796,0.038626418,0.032332785,0.18415354,0.25144053
M-V0097-Originaci�n sustentable de ma�z amarillo en Jalisco,0.09080309,0.054916576,0.05436003,-0.004278272,-0.053554922,0.10258301,0.0034594452,0.047337253,0.082035445,0.009078247,0.019889813,0.08444727,0.050303534
M-V0178 Regeneración de accesiones de maíz de los Valles Altos del Estado de México para el Banco de Germopl,0.13985248,0.16250356,0.17450418,0.16726331,0.090010345,0.23591688,0.12854478,0.21955518,0.1838605,0.16733754,0.17353001,0.22428167,0.19926898
M-W0494-PARTNERSHIP: Triticale research and breeding for gra,0.17863065,0.4265446,0.21882549,0.115942664,0.07190031,0.1907532,0.062713616,0.28865707,0.21244796,0.0763409,0.07659843,0.17015709,0.26864895
M-V0171-Maíces waxy México,-0.006303383,0.025379986,0.005378594,0.033595867,0.048875462,0.05725915,0.023291862,0.05263739,0.04197393,0.022645934,-0.029015865,0.032734994,0.065507784
M-V0181-Programa de Agricultura Regenerativa,0.25549546,0.3508602,0.28079608,0.108509414,0.15527539,0.23944344,0.14600466,0.31685746,0.28810227,0.23806734,0.2137307,0.25513723,0.33569863
M-V0130-Estrategia de Escalamiento Cultivando un M�xico mejo,0.12897499,0.16960575,0.14705306,0.0548318,0.06777313,0.14793068,0.111806005,0.13093492,0.14334014,0.08196176,0.150114,0.20777717,0.15764363
M-W0472-Wheat Productivity Enhancement Project (WPEP) for Pa,0.24850988,0.3422464,0.26533747,0.1866604,0.053327926,0.24643208,0.10251842,0.23940443,0.21130118,0.22674178,0.16351639,0.23672284,0.38210985
M-C0259-Nabling transformative locally-appropriate climate a,0.28617084,0.3852194,0.28355044,0.35369897,0.09397514,0.35736847,0.23714562,0.29805073,0.45897958,0.35084543,0.25317794,0.31502607,0.47899812
M-V0001-MasAgro For Africa,0.05063761,0.10457527,0.1103855,0.09299486,0.044969596,0.16094376,0.11785624,0.08707871,0.18205814,0.100191176,0.09012939,0.09204516,0.11822395
M-W0480-Enhancing food and nutrition security in Pakistan th,0.3998036,0.45617855,0.20563546,0.17992291,0.04360119,0.38749936,0.14225124,0.36288828,0.23486675,0.24118215,0.13911425,0.32285732,0.40400782
M-D0003-BMGF- Accelerated Variety Turnover for Open-pollinat,0.23049133,0.37697867,0.21869245,0.18171062,0.098212354,0.18124737,0.11925821,0.3124177,0.27165473,0.1303827,0.1631356,0.17463815,0.25372055
M-V0209-Impulsando sistemas agroalimentarios sostenibles en,0.20764132,0.18622972,0.1865585,0.047162805,0.07197013,0.17403682,0.082659915,0.10629581,0.1940508,0.10783183,0.18409306,0.24636532,0.17985466
M-V0224-Green Climate - componente Maíz,0.19824393,0.23092613,0.14562845,0.29149553,0.102236554,0.22373101,0.13489081,0.15268509,0.29432,0.2423233,0.11615739,0.24318413,0.27943313
M-W0510-Climate Resilient Agriculture Program in BIHAR,0.30413377,0.40493184,0.3231622,0.41393563,0.15097867,0.46007088,0.22372316,0.35822615,0.43019214,0.4169048,0.2594848,0.34660602,0.54824376
T-PJ-003651-Program for Seed System Innovation for VPCs in Africa (PROSSIVA),0.40123686,0.6741763,0.52988315,0.4054097,0.3264725,0.50835973,0.3988595,0.56221956,0.46846998,0.45702916,0.47364515,0.41753978,0.52209383
T-PJ-003778-SGP-RTB - Roots Tubers and Bananas Breeding: a consolidated investment,0.4118494,0.6589692,0.401908,0.38731372,0.24745692,0.50044453,0.36010522,0.52188236,0.4786238,0.35481566,0.31703368,0.43268007,0.4980834
T-PJ-003763-IITA Accelerated Innovation Delivery Initiative,0.46439496,0.4441085,0.5942807,0.4420405,0.4247136,0.58699065,0.44506285,0.44979522,0.47437838,0.59480745,0.5226878,0.5371637,0.51283014
T-PJ-003743-	Technologies for African Agricultural Transformation Phase II,0.48311672,0.5437422,0.5129233,0.45573863,0.3208667,0.57100046,0.37671652,0.4558338,0.48278537,0.558791,0.4637454,0.4846133,0.61140263
T-PJ-003801-Cassava Value Chain Development to Support Food Security and the Bread Industry in DRC,0.49700007,0.45703134,0.42886,0.3150969,0.24068339,0.50874907,0.23331888,0.32791293,0.34387752,0.36260098,0.41039434,0.45485836,0.46117887
T-PJ-003772-TAAT Clearinghouse: Re-invest to Accelerate Innovation Adoption,0.286293,0.36093935,0.4782528,0.33748427,0.3731895,0.4246588,0.340729,0.37108877,0.35608837,0.45071927,0.47783595,0.37940708,0.40013036
T-PJ-003942-IITA Accelerated Innovation Delivery Initiative (AID-I) for Mozambique,0.5096496,0.5567624,0.53756887,0.5166192,0.35849342,0.6149703,0.46723783,0.46584055,0.5397495,0.5349815,0.5027401,0.56339014,0.60634255
PJ-003897: Soil Values,0.37927234,0.4886596,0.4823196,0.40992904,0.27885282,0.4994309,0.27829507,0.41536427,0.48509726,0.47531664,0.42852822,0.441511,0.5851647
T-PJ-003262-An innovative approach to agribusiness training and start-up for Nigerias young people within the Young Africa Works Program,0.34502172,0.41726997,0.41126353,0.3706021,0.2993034,0.4348508,0.37273398,0.33799624,0.41615045,0.3252159,0.3769511,0.45707023,0.4572795
"T-PJ-003917-Strengthening soybean crop improvement in Africa to accelerate development of a stream of climate-smart varieties for small-scale producers, enabling their income growth, improved nutrition and national economic growth.",0.25471836,0.6179388,0.27863708,0.22166485,0.113249846,0.32634935,0.13661556,0.510426,0.30664447,0.20325598,0.2227296,0.24174395,0.38209397
T-PJ-003871-Making effective bioinputs work for smallholder farmers in SSA (Bio-SSA),0.25661156,0.3072157,0.25413567,0.18635243,0.14300165,0.24427992,0.08119202,0.4211122,0.26610926,0.23985389,0.20578049,0.21768355,0.3726571
T-PJ-003866-Liberia Land and Soil Resources Knowledge project (Soils4Liberia),0.2438031,0.3297053,0.35676318,0.37544218,0.28141788,0.39267868,0.20301387,0.43173242,0.45047417,0.41025448,0.31713983,0.2660914,0.5359256
T-PJ-003911-CGIAR Genetic Innovations Public-Private Partnership Platform,0.32981762,0.57781744,0.48794264,0.2612206,0.29391274,0.33953664,0.2710177,0.46304196,0.33669072,0.37579283,0.40139717,0.38719308,0.3493573
PJ-003978: Cassava Source Sink (CASS) Phase III,0.35042265,0.42785987,0.34687304,0.27993128,0.17675813,0.31670573,0.20051043,0.38704523,0.30892688,0.22629021,0.22642255,0.28510305,0.38887295
T-PJ-003670-	Long-term funding of Ex Situ collections of germplasm held by IITA,0.31385383,0.6128376,0.40659136,0.41838002,0.22601432,0.4060336,0.3289089,0.6563526,0.44548357,0.36906803,0.35064226,0.35043833,0.49074966
T-PJ-003256-	USAID - Enhancing Resilient and Adaptive Agriculture Livelihoods in Uganda – Scaling of Proven Climate-Smart Agriculture Technologies,0.4874338,0.5402013,0.5437399,0.5836831,0.4464775,0.61005265,0.43982697,0.4761435,0.55456114,0.6025923,0.5108798,0.50975454,0.67534095
"T-PJ-003051-Legume-based agroecological intensification of maize and cassava cropping systems in Sub-Saharan Africa for water-food-energy nexus sustainability, nutritional security and livelihood resilence (LEG4DEV)",0.41326222,0.47036177,0.45160708,0.42493388,0.27441397,0.45442843,0.3547385,0.3959724,0.49438807,0.4269345,0.40028068,0.44507298,0.5893302
"T-PJ-003470-Building Resilience to Enhance Food, Incomes and Nutrition Security in the Comoros and Madagascar",0.5441787,0.5357304,0.4302431,0.48217002,0.255582,0.63081235,0.42090926,0.4632516,0.55739635,0.46635866,0.3870576,0.5433908,0.6079463
T-PJ-003211-Genetic improvement of banana for control of bacterial wilt disease.,0.31776595,0.4343846,0.26893127,0.23176114,0.19428676,0.38789654,0.19064353,0.51891816,0.33529878,0.27578902,0.24547134,0.3020364,0.37890032
"T-PJ-004020-Assistance Technique pour la mise en place, Cle en mains, d'un laboratoire de production des vitroplants et de 2 serres  (SAH et de production de mini-boutures) de pommes de terre a l'Universite Catholique de Graben de Butembo au Nord-Kivu",0.3432896,0.55734545,0.42454037,0.27369896,0.17667651,0.39458606,0.19702761,0.4478443,0.3213798,0.3456203,0.31006432,0.32145053,0.48737076
T-PJ-004023-VACS-Breeding: TARO,0.3239622,0.6025407,0.3170325,0.22778772,0.098995104,0.3381322,0.16534674,0.4333361,0.34363857,0.25043097,0.24738911,0.3166258,0.39730036
T-PJ-003716-	Combating Malnutrition in Africa Through Diversification of the Food System (HealthyDiets4Africa),0.6850495,0.44901776,0.40577897,0.32926983,0.19636093,0.55877095,0.2609802,0.37827075,0.46260485,0.4080731,0.348163,0.5247645,0.5267592
T-PJ-004017-VACS-Breeding: Bambara,0.35138446,0.5296449,0.31782734,0.26173493,0.15785404,0.32899302,0.25804213,0.47993523,0.34150836,0.20811094,0.19024424,0.36777186,0.35286227
T-PJ-003115-Creating Employment Opportunities for Rural Youth in Africa: Support to Integrated Agribusiness Hubs in Nigeria,0.29700345,0.3482622,0.3993632,0.3472353,0.25986508,0.4237365,0.31238535,0.24234766,0.39291087,0.37843302,0.34504217,0.38076296,0.47188565
T-PJ-003732-Driving agroecological transitions in the humid tropics of Central and Eastern Africa through traNsdisciplinary Agroecology Living LabS (CANALLS),0.48659986,0.4809744,0.5165025,0.49240717,0.36165756,0.5615564,0.3706489,0.47670484,0.5916484,0.577461,0.5360126,0.5091631,0.5872485
T-PJ-003888-Restoring degraded environments and improving livelihoods in refugee settlements and refugee host communities in Uganda,0.38296455,0.44078892,0.459599,0.56033885,0.35050642,0.6220599,0.44366217,0.42173982,0.5913763,0.52237403,0.45085296,0.47298905,0.6360669
T-PJ-002990-Soil Information System for Africa (Soils4Africa),0.20906661,0.28844324,0.39017245,0.28234822,0.2832937,0.32998997,0.17122053,0.3615547,0.33988124,0.35284632,0.27564287,0.20536685,0.45093203
T-PJ-003697-Malawi Digital Plant Health Service (MaDiPHS),0.30839851,0.3864407,0.3667498,0.3106037,0.36171463,0.37147582,0.2334089,0.44968355,0.3494584,0.343883,0.3069765,0.33274758,0.49286664
T-PJ-002860-Agricultural transformation in Nigerian federal states and Togolese regions towards achieving Zero Hunger,0.4801007,0.4200683,0.43044785,0.34413752,0.23502336,0.51614875,0.2741223,0.39511192,0.4277829,0.48216113,0.3902423,0.45243078,0.51553595
"T-PJ-003936-iSPARK: innovation in sustainability, policy, adaptation and resilience in Kenya",0.47592327,0.5322188,0.6176956,0.56665075,0.4491429,0.61405736,0.48709932,0.47450006,0.6253802,0.6343799,0.5768442,0.5231005,0.6624215
T-PJ-003863-Women in Agricultural Technical Education and Apprenticeship in Nigeria (Femmes dans l'Enseignement Technique et l'Apprentissage en Agriculture et Agribusiness au Nigeria)) (FET3A-Nigeria),0.29620206,0.37036058,0.3240696,0.29208893,0.22234033,0.39482442,0.34260964,0.26710287,0.42984596,0.24217328,0.21532513,0.3325603,0.4170464
T-PJ-003663-Development of the Ogun State Farmer Information Management system (OGFIMS),0.38358837,0.47283986,0.36997393,0.33502957,0.3002654,0.38750494,0.25046846,0.4416497,0.34103674,0.4270149,0.37707952,0.4012891,0.5281524
T-PJ-003657-	Counteracting the emergence of invasive and virulent plant-parasitic nematodes as driven by global warming and genetic selection,0.29276523,0.4960091,0.32374027,0.3084773,0.23062903,0.39525747,0.2392368,0.54251134,0.3599319,0.32712844,0.29137492,0.2609234,0.48455322
"T-PJ-003889-	Project for self-reliant support through employment generation of internally displaced persons (IDPs) and securing labor force, leading to increased local food production and nutritional improvement support.",0.3947607,0.345445,0.30898854,0.35689697,0.23674968,0.5233131,0.34240437,0.31138688,0.36008584,0.35199684,0.31419066,0.4097988,0.43554258
T-PJ-003516-	World Bank Ogun State Economic Transformation Project -Value Chain Development in Ijebu Zone,0.45595673,0.523796,0.49605283,0.42909917,0.27126455,0.48716807,0.3327442,0.40556595,0.45601797,0.4977961,0.50176716,0.5202002,0.58373475
T-PJ-003817-Technical assistance to the Building Resilience for Food and Nutritional Security in Djibouti,0.5220342,0.5969785,0.52378684,0.5615704,0.34183747,0.63228935,0.4181116,0.5146102,0.5706258,0.5246882,0.43946514,0.5857703,0.6465572
"PJ-003903: Strengthening Emergency Preparedness and Response to Food Crisis for Burundi, Comoros, Somalia and South Sudan (SEPAREF)",0.42468554,0.6388206,0.53302723,0.5036215,0.42581472,0.5899126,0.3866434,0.60701555,0.4890697,0.5374914,0.48870322,0.45908597,0.6367377
T-PJ-003873-Scaling component for FASA WorldFish Project,0.46638224,0.4802794,0.513418,0.42445117,0.39194328,0.44165954,0.28144598,0.35031894,0.39934674,0.47684014,0.5396053,0.5818035,0.50474685
T-PJ-003861-Enhancing cassava productivity and utilization for food and incomes of smallholder farmers in Rwanda,0.44452715,0.49606496,0.44745,0.32828626,0.2165662,0.47543952,0.28197518,0.3575285,0.37287387,0.42886445,0.414326,0.43199295,0.50532275
T-PJ-003907-Evidence-based Regenerative Agriculture to Address Climate Change in Africa (Ethiopia and Nigeria),0.3862914,0.49938744,0.46570298,0.4134666,0.30063415,0.49382073,0.37341085,0.47368073,0.4661015,0.4693303,0.41579476,0.3938462,0.5696994
PJ-003968: Resilient Agriculture Livelihood Project South Sudan (RALP),0.42271572,0.6087093,0.49471697,0.49707136,0.32235596,0.55546755,0.3625854,0.547163,0.4898869,0.4674693,0.4090109,0.46245173,0.6762439
T-PJ-003684-	Cabinda Province Agriculture Value Chains Development (CPAVCDP) Project in Angola,0.40525112,0.48535147,0.5371114,0.34539723,0.31715167,0.48875976,0.2886201,0.41204682,0.40523487,0.47710696,0.46881735,0.4557571,0.5250382
"T-PJ-003906-	Improving Rice Productivity by Decarbonizing Cultivation For 12,000 Hectares of Irrigated Land in Benin Republic",0.2948405,0.40116853,0.36981326,0.3669286,0.22930633,0.37172678,0.24200116,0.3696415,0.38126123,0.41515195,0.36525056,0.34626025,0.48105946
"T-PJ-003767-	USDA Food for Progress (FFPr): Traceability and Resilience in Agriculture and Cocoa Ecosystems of Nigeria (TRACE) Project, Nigeria",0.38217753,0.4220537,0.3548476,0.37283653,0.34627312,0.43393698,0.31957453,0.43752512,0.38454545,0.26889586,0.2884131,0.38313738,0.48179457
PJ-003823: IITA technical assistance to the project to support the sustainable development of agricultural and livestock value chains in Burundi (PADCAE-B),0.3785391,0.4249419,0.46729645,0.43149367,0.25034443,0.53419626,0.34591287,0.37186557,0.47424477,0.483916,0.4187139,0.515482,0.56732225
T-PJ-003802-A Regional Emergency Response Plan to Control the Banana Bunchy Top Disease (BBTD) Outbreak in East Africa,0.3247779,0.3744569,0.31685436,0.32409027,0.23883404,0.46333647,0.2108573,0.42651746,0.3073495,0.399907,0.33522025,0.35898778,0.3733441
PJ-003822:  Resilience Food Security Activity (RFSA) in the Democratic Republic of Congo,0.60667056,0.39231026,0.4369685,0.5204215,0.31558225,0.6987951,0.46554494,0.3704967,0.49468836,0.51696855,0.4216756,0.6108626,0.57946306
T-PJ-003887-Using birds to monitor the success of forest restoration in southern Nigeria,0.2244955,0.31479606,0.30833578,0.34366673,0.2403458,0.35570648,0.24638696,0.32223487,0.43690577,0.32977843,0.31868824,0.34296393,0.34732872
T-PJ-003715-Regional approach towards addressing invasive quarantine pests of potato in East and Southern Africa,0.21670742,0.3369502,0.27313817,0.20738715,0.16243534,0.37175915,0.17467785,0.41865864,0.24756496,0.28076747,0.21890278,0.23072135,0.35390362
T-PJ-003761-Partnership for facilitating Access of Integrated Pest Management innovations through the African Development Bank’s(AfDB) Program to Build Resilience for Food and Nutrition Security in the Horn of Africa (BREFONS),0.44755015,0.54122514,0.4711599,0.4935923,0.33106825,0.5693452,0.3581278,0.5261396,0.5131748,0.47576618,0.39067128,0.49729383,0.6118702
T-PJ-003668-Identification of mechanisms to regulate growth habits in yam (Dioscorea rotundata) aiming at cost-effective mechanization in farmer’s fields,0.31415924,0.5393787,0.29484427,0.19584255,0.20866188,0.29821375,0.138277,0.5482428,0.27065372,0.21835645,0.2493619,0.30091617,0.43454537
"T-PJ-003048-	Synergistic Use and Protection of Natural Resources for Rural Livelihoods through Systematic Integration of Crops, Shrubs and Livestock in the Sahel",0.45347285,0.53317547,0.503276,0.49566385,0.2722131,0.5525859,0.3436324,0.4312568,0.55183697,0.51450425,0.4996546,0.52384543,0.6592686
T-PJ-003655-One health sustainability partnership between EU-Africa for food security,0.33223027,0.40400153,0.3889838,0.3631889,0.4072128,0.40080386,0.1962764,0.39703083,0.4016744,0.42557204,0.36585408,0.42530593,0.45588765
T-PJ-003353-Olokemeji Reforestation Project,0.26063752,0.28665498,0.32992727,0.42527065,0.21870501,0.4330884,0.3085909,0.34009698,0.4887126,0.36328882,0.36409408,0.42686957,0.43983045
T-PJ-003612-Positioning Shade-Grown Cocoa to Improve Conservation and Rural Livelihoods,0.30303013,0.37758198,0.343332,0.32235077,0.2281779,0.38904598,0.21344988,0.38287523,0.47132847,0.36429977,0.37859273,0.41439256,0.41333303
T-PJ-003535-1000Farms Trials Platform,0.3945311,0.66265404,0.45958808,0.3436349,0.3184931,0.3970318,0.23270522,0.56328094,0.4289436,0.32676354,0.3746551,0.39672863,0.50254554
PJ-003925: Emergency response to outbreaks of caterpillars of a transboundary noctuid pest moth,0.32252616,0.36389902,0.2998603,0.3498546,0.27880877,0.48119235,0.25136578,0.43584138,0.41952816,0.3706603,0.3512205,0.3374301,0.43621388
T-PJ-003407-Improving common bean and cowpea productivity and nutritional quality under conditions of reproductive-stage high-temperature stress,0.36752778,0.49823618,0.24214019,0.27583686,0.025256483,0.36186436,0.10960688,0.42169777,0.34335274,0.24559553,0.1522515,0.2855332,0.4384019
T-PJ-003920-Climate Smart innovations and measures for East African smallholder farming,0.44401038,0.5865848,0.49240127,0.5175599,0.33745557,0.545773,0.3585382,0.46015024,0.5530969,0.49111006,0.4488663,0.44188276,0.7227678
T-PJ-003395-Creation of agropastoral centers of excellence using the IITA BIP model,0.2894933,0.3679673,0.43076882,0.32780343,0.20704022,0.37585938,0.22985129,0.2660141,0.3837812,0.37518385,0.36824903,0.4479318,0.44050503
T-PJ-003890-Market-led Transformation of the Root and Tuber Crops Subsector in Malawi (RTC-MARKET programme),0.385434,0.422686,0.40020102,0.26565683,0.20885494,0.37992024,0.23785798,0.38391006,0.30250588,0.3377575,0.33199465,0.32473665,0.37832245
T-PJ-003675-	Increasing Production and Consumption of Orange Fleshed Sweetpotato (rich in beta carotene) among Smallholder Farmers in 8 LGAs in Benue and Oyo States,0.5452744,0.5064774,0.45687371,0.373802,0.27673373,0.50691146,0.28436625,0.43855876,0.41917303,0.44974267,0.41209707,0.45866066,0.5276537
"T-PJ-003789-	Mitigating the Impacts of Cassava Virus Epidemics and their Whitefly Vectors in East, Central and Southern Africa through Surveillance, Scaling of Digital Extension Tools, and IPM",0.29718518,0.44770083,0.32653365,0.30220297,0.30168176,0.41675654,0.21185602,0.4824972,0.2994978,0.3007348,0.30303988,0.30871037,0.45095798
"PJ-003958: Wassa Amenfi Cocoa Landscape Initiative, Ghana",0.4345059,0.44563937,0.43413022,0.45031095,0.34687725,0.52289414,0.32184538,0.435558,0.55539024,0.48577645,0.4793003,0.44791192,0.5175223
T-PJ-003469-	African Plant Breeding Academy (AfPBA) CRISPR Course in Kenya,0.23442656,0.42249712,0.3161629,0.26731452,0.2312007,0.3193713,0.1919101,0.43772164,0.30462164,0.314032,0.25473356,0.2609952,0.31649822
T-PJ-003969-Technologies for African Agricultural Transformation Phase II (TAAT II): Fish Compact,0.44069973,0.46252918,0.459703,0.38808063,0.29644746,0.45370075,0.31385708,0.3368286,0.37617907,0.43026412,0.40548167,0.5875776,0.4558292
T-PJ-003713-	Deployment of a novel biodegradable carrier (banana fibre) for efficient crop protection,0.21039021,0.32855195,0.25053233,0.13581635,0.13854706,0.26417628,0.054948904,0.36170286,0.25535884,0.2242843,0.26661283,0.21091148,0.32140526
T-PJ-003067-Reviving taro production in Western Africa: High throughput phenotyping and omics approaches to study taro diseases,0.18537228,0.33442247,0.1851816,0.15698265,0.121783465,0.2760062,0.066064246,0.420868,0.23017254,0.17713396,0.18711503,0.20218407,0.33290717
"T-PJ-003161-	Development of a bundled flood and crop alert system using LoRaWAN for Eriti lowlands and adjoining agrarian communities in Obafemi Owode LGA of Ogun State, Nigeria",0.26772025,0.3938693,0.3251072,0.421235,0.27776685,0.3971138,0.2731515,0.38554096,0.40521902,0.41290087,0.32334787,0.31810504,0.48857266
T-PJ-003456-Advanced utilization of genetic resources of yam and cowpea for food security and land sustainability under unfavorable environments,0.23126964,0.51243424,0.2834056,0.21434774,0.11956565,0.24815783,0.1101811,0.5031518,0.3086851,0.19798614,0.22218652,0.28878194,0.37127668
T-PJ-003790-Enhancing resistance to Fusarium Wilt (Foc TR4) disease in banana through induced mutagenesis and gene-editing,0.2176742,0.3370985,0.15150069,0.1335546,0.13810322,0.24012242,0.08614436,0.45380118,0.2001041,0.19565926,0.14594415,0.15059283,0.2618662
"T-PJ-003494-	Development of nutritional enhancement genetic materials for cowpea and yam crops, improved nutritional status in West Africa and developing countries",0.3343697,0.47779384,0.21374333,0.13174395,0.06143374,0.28711838,0.08253391,0.43356884,0.25296822,0.16878074,0.13760386,0.31427428,0.33777824
T-PJ-003874-Strengthening the soybean variety development effort of the IITA soybean breeding program for West Africa,0.3949657,0.5505973,0.33015844,0.24986045,0.1155846,0.3976067,0.17451619,0.44615698,0.35169518,0.26132447,0.23750587,0.34518647,0.445407
T-PJ-003764-Development of utilization technique of plant growth-promoting bacteria isolated from White guinea yam to enhance crop production in Africa.,0.23809703,0.31939155,0.22482759,0.12751634,0.08278931,0.25930706,0.08724141,0.34378734,0.21791597,0.19623776,0.21693021,0.24625383,0.33927155
T-PJ-003811-Systems Approaches to improve Maternal and Child Health Outcome through Nutrition,0.5051199,0.37540063,0.25571048,0.2323718,0.23201035,0.43913403,0.24719945,0.32007277,0.2332662,0.28771168,0.19555545,0.31662053,0.3478821
T-PJ-003857-Safeguarding carbon sinks and their sequestration with agro-tech solutions in Western Uganda,0.44935203,0.5685176,0.50502104,0.4891869,0.3535131,0.5453518,0.36419806,0.496388,0.5294223,0.49792045,0.45542422,0.43685776,0.62963307
"T-PJ-003608-DELIBERATE, “Does food democracy matter? Linking the deliberative quality of soy and coffee value chains to ecological “foodprints”",0.55725294,0.4300827,0.43875274,0.43434367,0.30188772,0.49917415,0.36498445,0.36240986,0.5113685,0.43488333,0.4911585,0.5341644,0.5078535
T-PJ-003688-Screening AgBiome biocontrol agents for use in Africa,0.2002576,0.31205595,0.18731114,0.123044126,0.07683305,0.25897443,0.12029453,0.38723576,0.27109176,0.1786059,0.17617597,0.19875929,0.30414507
T-PJ-003188-Development and promotion of aflatoxin biologica,0.21542354,0.20503008,0.05165003,0.03297346,0.033823945,0.16493692,0.0061330516,0.19521876,0.09810301,0.037106853,0.04319383,0.18914965,0.17144598
"PJ-003836: Building resilient seed systems for rice, cassava, cowpea, cocoa, and fish value chains to strengthen food and economic diversification in Liberia",0.35449535,0.5209735,0.37362647,0.2909371,0.18031986,0.4468813,0.19070938,0.43297404,0.3452561,0.34440914,0.34504446,0.42727962,0.46900487
T-PJ-003576-Mining useful alleles for climate change adaptat,0.17703292,0.3625503,0.23218426,0.24533112,0.08242094,0.21127789,0.16452955,0.4608699,0.3097651,0.1739427,0.14959185,0.31107622,0.32178262
"T-PJ-003812-ETH/IITA - CITY REGIONS FOOD SYSTEMS, RUNRES (TH",0.49209806,0.38175997,0.42784065,0.40042928,0.18327451,0.61277777,0.28231594,0.31218177,0.37984326,0.4674045,0.35448962,0.49692446,0.51540136
T-PJ-003702-Youth In Agribusiness: enabling scaling of innov,0.4643172,0.45879436,0.42620072,0.32701093,0.29428485,0.43092063,0.33913267,0.31740135,0.41087812,0.36040533,0.42698362,0.5031139,0.5354868
PJ-003938: Food Systems Resilience Program interventions in Feed Salone,0.49899268,0.38871992,0.3336373,0.39002398,0.18823455,0.60896736,0.28132403,0.31494242,0.35772306,0.41162437,0.31572196,0.5290097,0.4896558
T-PJ-003255-Building Economically Sustainable Seed Systems f,0.30388495,0.5140712,0.2875184,0.22013307,0.11649518,0.30565736,0.14844719,0.3749061,0.3203253,0.23864633,0.24107036,0.2978352,0.3981843
T-PJ-003835-EU/IITA - FOOD SAFETY FOR AFRICA - ADDRESSING FO,0.41421312,0.24996306,0.25382486,0.30790278,0.20008202,0.52525353,0.23616977,0.24133922,0.2848385,0.37731913,0.26668558,0.42642173,0.3075276
T-PJ-003905-Developpement de Biopesticide pour lutter contre l'Aflatoxine en vue de faire respecter les normes Internationales (Development of Bi,0.18603408,0.07894918,0.050883193,0.08644182,0.10889599,0.20768604,0.046243746,0.21430905,0.10152564,0.12764393,0.067050606,0.19606075,0.10844848
T-PJ-003355-Sustainable Soyabean Production in Northern Ghana,0.26310313,0.27864456,0.20445155,0.18355308,0.053191382,0.3060196,0.10715045,0.26081312,0.30139223,0.21337883,0.16877474,0.29248878,0.32483354
T-PJ-003575-Mining useful alleles for climate change adaptat,0.22740912,0.3971106,0.28044915,0.2625746,0.10701101,0.24888425,0.1907504,0.44363365,0.3189055,0.17340058,0.1749323,0.26691097,0.33500153
Redesigning banana breeding,0.17675148,0.37464207,0.16752046,0.11854728,0.08638615,0.18884799,0.09797059,0.32379586,0.2161267,0.13108525,0.11380788,0.22107886,0.20264734
W-D-0424-WRAP C1,0.36512133,0.22399877,0.39992878,0.44999552,0.2938939,0.40578267,0.42734343,0.25539827,0.33119023,0.48722807,0.40527034,0.39660743,0.41781878
W-P-XXX1-Jahez,0.31821385,0.3285918,0.3759041,0.55021507,0.34266284,0.5236556,0.39015782,0.3910669,0.46943104,0.4568929,0.47221455,0.41675434,0.47054955
